Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Mandvi,ST,Gujarat,INC,56.10%,M,BJP,12.5,CHAUDHARY TUSHARBHAI AMARSINHBHAI,0,Graduate Professional,1817815,400372,36,39.89
Mandya,GEN,Karnataka,INC,71.40%,M,INC,3.22,AMBAREESH M. H.,0,Others,7394819,321600,53,-12.81
Mangaldoi,GEN,Assam,BJP,70.20%,M,INC,9.51,NARAYAN CHANDRA BORKATAKY,0,Graduate,5595818,301647,60,1.51
Mangalore,GEN,Karnataka,BJP,71.70%,M,BJP,3.22,D. V. SADANANDA GOWDA,0,Graduate Professional,4639359,968423,51,-12.81
Manjeri,GEN,Kerala,Communist Party Of India (MARXIST),71.70%,M,Muslim League Kerala State Committee,5.57,T. K. HAMZA,0,Graduate Professional,780480,434704,66,-1.39
Mathura,GEN,Uttar Pradesh ,INC,47.10%,M,BJP,5,MANVENDRA SINGH,0,12th Pass,15387530,281228,,3.85
Mathurapur,SC,West Bengal,Communist Party Of India (MARXIST),81.30%,M,Communist Party Of India (MARXIST),2.66,Basudeb Barman,0,Post Graduate,2772156,0,68,3.56
Mavelikara,GEN,Kerala,Communist Party Of India (MARXIST),73.80%,F,INC,5.57,C. S. SUJATHA,4,Graduate Professional,669613,18000,38,-1.39
Mayiladuturai,GEN,Tamil Nadu,INC,67.90%,M,INC,8.84,MANI SHANKAR AIYAR,0,Post Graduate,19391699,380411,63,-2.42
Mayurbhanj,ST,Orissa,Jharkhand Mukti Morcha,70.30%,M,BJP,21.93,SUDAM MARNDI,4,12th Pass,1780596,0,38,22.81
Medak,GEN,Andhra Pradesh,Telangana Rashtra Samithi,71.40%,M,BJP,6.29,A. NARENDRA,0,Graduate,2020000,5.00E+05,49,15.14
Meerut,GEN,Uttar Pradesh ,Bahujan Samaj Party,52.40%,M,INC,5,MOHD. SHAHID,0,5th Pass,15220720,121146,34,3.85
Mehsana,GEN,Gujarat,INC,56.30%,M,INC,12.5,JIVABHAI AMBALAL PATEL,0,10th Pass,34602412,0,70,39.89
Midnapore,GEN,West Bengal,Communist Party Of India,78.50%,M,Communist Party Of India,2.66,Prabodh Panda,0,Graduate,1297328,0,58,3.56
Miryalguda,GEN,Andhra Pradesh,INC,74.60%,M,INC,6.29,JAIPAL REDDY SUDINI,0,Post Graduate,12264007,1546865,62,15.14
Mirzapur,GEN,Uttar Pradesh ,Bahujan Samaj Party,44.70%,M,Samajwadi Party,5,NARENDRA KUMAR KUSHWAHA,0,12th Pass,7099,0,35,3.85
Mirzapur,GEN,Uttar Pradesh ,BSP,42.70%,M,Samajwadi Party,5,Ramesh Dubey,,Others,,,,3.85
Misrikh,SC,Uttar Pradesh ,Bahujan Samaj Party,44.70%,M,Samajwadi Party,5,ASHOK KUMAR RAWAT,0,Post Graduate,1419108,326547,36,3.85
Mizoram,ST,Mizoram,Mizo National Front,62.80%,M,Independent,-9.3,VANLALZAWMA,0,Post Graduate,2127713,0,48,-1.34
Mohanlalganj,SC,Uttar Pradesh ,Samajwadi Party,44.70%,M,Samajwadi Party,5,JAI PRAKASH,0,Graduate,16583667,1883335,48,3.85
Monghyr,GEN,Bihar ,Rashtriya Janata Dal,64.00%,M,Janata Dal (United),-6.57,JAY PRAKASH NARAYAN YADAV,1,Post Graduate,1880178,172602,54,-16.27
Moradabad,GEN,Uttar Pradesh ,Samajwadi Party,48.40%,M,Akhil Bhartiya Lok Tantrik Congress,5,DR. SHAFIQURRAHMAN BARQ,0,Graduate,1349151,0,70,3.85
Morena,SC,Madhya Pradesh ,BJP,33.90%,M,BJP,-2.8,ASHOK CHHAVIRAM ARGAL,2,12th Pass,3220504,432625,34,36.75
Mormugao,GEN,Goa,INC,57.70%,M,BJP,7.59,ALEMAO CHURCHIL BRAZ,1,12th Pass,8675904,8172004,55,11.97
Mormugao,GEN,Goa,INC,35.90%,M,BJP,7.59,Shri Francisco Sardinha,,Others,,,,11.97
Motihari,GEN,Bihar ,Rashtriya Janata Dal,55.60%,M,BJP,-6.57,AKHILES PRASAD SINGH,0,Post Graduate,3669358,0,41,-16.27
Mukundapuram,GEN,Kerala,Communist Party Of India (MARXIST),70.50%,M,INC,5.57,LONAPPAN NAMBADAN,0,Others,1930115,0,68,-1.39
Mumbai North,GEN,Maharashtra,INC,47.10%,M,BJP,10.7,GOVINDA,1,Graduate,145298405,2.50E+07,41,10.43
Mumbai North Central,GEN,Maharashtra,INC,46.10%,M,Shiv Sena,10.7,EKNATH M. GAIKWAD,0,10th Pass,2045861,0,64,10.43
Mumbai North East,GEN,Maharashtra,INC,46.90%,M,BJP,10.7,KAMAT GURUDAS,0,Graduate Professional,33894725,0,49,10.43
Mumbai North West,GEN,Maharashtra,INC,49.30%,M,INC,10.7,SUNIL DUTT,1,Graduate,204321510,0,74,10.43
Mumbai North West,GEN,Maharashtra,INC,32.80%,F,INC,10.7,Priya Sunil Dutt,,Others,,,,10.43
Mumbai South,GEN,Maharashtra,INC,44.20%,M,BJP,10.7,,,Others,,,,10.43
Mumbai South Central,GEN,Maharashtra,Shiv Sena,49.40%,M,Shiv Sena,10.7,MOHAN RAWALE,4,10th Pass,5589646,145918,55,10.43
Murshidabad,GEN,West Bengal,INC,83.80%,M,Communist Party Of India (MARXIST),2.66,,,Others,,,,3.56
Muvattupuzha,GEN,Kerala,Indian Federal Democratic Party,75.60%,M,Kerala Congress(M),5.57,P. C. THOMAS (PULLOLIL),0,Graduate Professional,6392358,1232410,53,-1.39
Muzaffarnagar,GEN,Uttar Pradesh ,Samajwadi Party,56.70%,M,INC,5,CH. MUNAWWAR HASAN,1,10th Pass,4217051,0,35,3.85
Muzaffarpur,GEN,Bihar ,Janata Dal (United),63.40%,M,Janata Dal (United),-6.57,GEORGE FERNANDES,0,Others,33987410,0,72,-16.27
Mysore,GEN,Karnataka,BJP,64.70%,M,INC,3.22,C. H. VIJAYASHANKAR,0,Graduate Professional,263999,21750,48,-12.81
Nabadwip,SC,West Bengal,Communist Party Of India (MARXIST),84.30%,M,All India Trinamool Congress,2.66,Alakesh Das,0,Post Graduate,278876,18382,40,3.56
Nagaland,GEN,Nagaland,Nagaland Peoples Front,91.40%,M,INC,9.82,W. WANGYUH,0,Post Graduate,2147000,0,40,5.51
Nagapattinam,SC,Tamil Nadu,Dravida Munetra Kazhagam,71.50%,M,Dravida Munetra Kazhagam,8.84,"VIJAYAN, A. K. S.",0,12th Pass,3191000,1013614,43,-2.42
Nagarkurnool,SC,Andhra Pradesh,Telugu Desam,68.10%,M,Telugu Desam,6.29,DR.MANDA JAGANNATH,0,Post Graduate,6545314,2339000,52,15.14
Nagaur,GEN,Rajasthan,BJP,43.90%,M,INC,2.12,BHANWAR SINGH DANGAWAS,0,12th Pass,1303714,0,74,81.37
Nagercoil,GEN,Tamil Nadu,Communist Party Of India (MARXIST),60.40%,M,BJP,8.84,BELLARMIN. A. V.,0,Post Graduate,3076650,0,49,-2.42
Nagpur,GEN,Maharashtra,INC,48.60%,M,INC,10.7,VILAS MUTTEMWAR,0,Graduate,10020540,2898977,55,10.43
Nainital,GEN,Uttarakhand,INC,48.90%,M,INC,17.77,K. C. SINGH BABA,0,12th Pass,23708052,2906552,58,4.87
Nalanda,GEN,Bihar ,Janata Dal (United),68.20%,M,Janata Dal (United),-6.57,NITISH KUMAR,0,Graduate,4389206,672674,52,-16.27
Nalgonda,GEN,Andhra Pradesh,Communist Party Of India,65.20%,M,Telugu Desam,6.29,Ramswaroop Prasad,,Others,,,,15.14
Nanded,GEN,Maharashtra,BJP,55.30%,M,INC,10.7,,,Others,,,,10.43
Nandurbar,ST,Maharashtra,INC,52.50%,M,INC,10.7,,,Others,,,,10.43
Nandyal,GEN,Andhra Pradesh,INC,70.10%,M,Telugu Desam,6.29,S. P. Y. REDDY,0,Graduate Professional,64646900,13374000,54,15.14
Narasapur,GEN,Andhra Pradesh,INC,76.90%,M,BJP,6.29,,,Others,,,,15.14
Narasaraopet,GEN,Andhra Pradesh,INC,71.50%,M,INC,6.29,MEKAPATI RAJAMOHAN REDDY,0,Graduate Professional,63961169,0,59,15.14
Nashik,GEN,Maharashtra,Nationalist Congress Party,43.10%,M,Shiv Sena,10.7,PINGALE DEVIDAS ANANDRAO,1,10th Pass,19757718,5607433,43,10.43
Nawada,SC,Bihar ,Rashtriya Janata Dal,67.10%,M,BJP,-6.57,VIRCHANDRA PASWAN,0,Post Graduate,1797522,135728,41,-16.27
Nellore,SC,Andhra Pradesh,INC,72.30%,F,Telugu Desam,6.29,PANABAKA LAKSHMI,0,Post Graduate,5395726,0,46,15.14
New Delhi,GEN,Delhi ,INC,44.60%,M,BJP,-7.86,AJAY MAKAN,1,Post Graduate,30234158,650000,40,1.01
Nilgiris,GEN,Tamil Nadu,INC,59.10%,M,BJP,8.84,PRABHU R.,0,Post Graduate,102440054,0,56,-2.42
Nizamabad,GEN,Andhra Pradesh,INC,69.30%,M,Telugu Desam,6.29,MADHU GOUD YASKHI,0,Post Graduate,142718537,32560000,45,15.14
Nowgong,GEN,Assam,BJP,68.40%,M,BJP,9.51,RAJEN GOHAIN,0,Graduate Professional,3679236,336600,51,1.51
Nowrangpur,ST,Orissa,BJP,67.30%,M,BJP,21.93,PARSURAM MAJHI,0,Graduate,767000,25000,43,22.81
Ongole,GEN,Andhra Pradesh,INC,74.80%,M,Telugu Desam,6.29,SREENIVASULU REDDY MAGUNTA,2,Graduate,141768943,0,49,15.14
Osmanabad,SC,Maharashtra,Shiv Sena,59.40%,F,Shiv Sena,10.7,NARHIRE KALPANA RAMESH,5,10th Pass,3234992,510681,34,10.43
Ottapalam,SC,Kerala,Communist Party Of India (MARXIST),73.80%,M,Communist Party Of India (MARXIST),5.57,S. AJAYA KUMAR,3,12th Pass,1083876,780000,39,-1.39
Outer Delhi,GEN,Delhi ,INC,46.10%,M,BJP,-7.86,SAJJAN KUMAR,1,Literate,1306055,520477,58,1.01
Outer Manipur,ST,Manipur,Independent,77.80%,M,Nationalist Congress Party,4.72,MANI CHARENAMEI,0,Graduate,205000,0,45,14.96
Padrauna,GEN,Uttar Pradesh ,National Loktantrik Party,52.60%,M,BJP,5,BALESHWAR YADAV,0,Graduate,6907100,5.00E+05,49,3.85
Palamau,SC,Jharkhand,Rashtriya Janata Dal,49.80%,M,BJP,8.97,MANOJ KUMAR,0,Graduate,1825000,125000,36,3.16
Palamau,GEN,Jharkhand,RJD,49.80%,M,BJP,8.97,Dhuran Ram,,Others,,,,3.16
Palani,GEN,Tamil Nadu,INC,63.70%,M,All India Anna Dravida Munnetra Kazhagam,8.84,,,Others,,,,-2.42
Palghat,GEN,Kerala,Communist Party Of India (MARXIST),73.60%,M,Communist Party Of India (MARXIST),5.57,N. N. KRISHNADAS,4,Graduate,1503105,0,45,-1.39
Pali,GEN,Rajasthan,BJP,45.30%,M,BJP,2.12,PUSP JAIN,0,Graduate Professional,1654429,222611,48,81.37
Panaji,GEN,Goa,BJP,59.70%,M,BJP,7.59,SHRIPAD YESSO NAIK,0,Graduate,4537329,598785,50,11.97
Pandharpur,SC,Maharashtra,Republican Party Of India (A),53.20%,M,Independent,10.7,ATHAWALE RAMDAS BANDU,0,Graduate,2656172,0,43,10.43
Panskura,GEN,West Bengal,Communist Party Of India,82.10%,M,Communist Party Of India,2.66,Gurudas Dasgupta,0,Post Graduate,3668778,0,67,3.56
Parbhani,GEN,Maharashtra,Shiv Sena,58.40%,M,Shiv Sena,10.7,TUKARAM GANPATRAO RENGE PATIL,13,Post Graduate,6060000,1950000,49,10.43
Parvathipuram,ST,Andhra Pradesh,INC,73.70%,M,Telugu Desam,6.29,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,0,Post Graduate,220678000,0,57,15.14
Patan,SC,Gujarat,BJP,47.50%,M,INC,12.5,KANODIA MAHESHKUMAR MITHABHAI,0,Literate,11842032,803206,67,39.89
Patiala,GEN,Punjab,INC,61.30%,F,INC,4.08,PRENEET KAUR,0,Graduate,412867297,0,59,5.76
Patna,GEN,Bihar ,Rashtriya Janata Dal,51.80%,M,BJP,-6.57,RAM KRIPAL YADAV,0,Graduate,1400031,204942,47,-16.27
Peddapalli,SC,Andhra Pradesh,INC,67.70%,M,Telugu Desam,6.29,G. VENKAT SWAMY,0,10th Pass,19464700,0,76,15.14
Perambalur,SC,Tamil Nadu,Dravida Munetra Kazhagam,70.60%,M,Dravida Munetra Kazhagam,8.84,"RAJA, A.",0,Graduate Professional,5759538,1331049,41,-2.42
Periyakulam,GEN,Tamil Nadu,INC,66.00%,M,All India Anna Dravida Munnetra Kazhagam,8.84,AARON RASHID J. M.,0,10th Pass,152098686,2253320,53,-2.42
Phillaur,SC,Punjab,Shiromani Akali Dal,61.20%,M,INC,4.08,CHARANJIT SINGH ATWAL,0,Graduate Professional,16469765,710013,67,5.76
Phulbani,SC,Orissa,Biju Janata Dal,66.50%,M,Biju Janata Dal,21.93,SUGRIB SINGH,0,Graduate,869000,326000,40,22.81
Phulpur,GEN,Uttar Pradesh ,Samajwadi Party,53.60%,M,Samajwadi Party,5,ATIQUE AHAMAD,36,8th Pass,33704071,0,41,3.85
Pilibhit,GEN,Uttar Pradesh ,BJP,52.70%,F,Independent,5,MANEKA GANDHI,0,12th Pass,66763700,0,47,3.85
Pollachi,SC,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,61.70%,M,Marumalarchi Dravida Munnetra Kazhagam,8.84,"KRISHNAN, DR. C",0,Graduate Professional,2686691,2.00E+05,68,-2.42
Pondicherry,GEN,Pondicherry,Pattali Makkal Katchi,76.10%,M,INC,7.87,RAMADASS. M.,0,Doctorate,3217000,247304,54,4.28
Ponnani,GEN,Kerala,Muslim League Kerala State Committee,62.20%,M,Muslim League Kerala State Committee,5.57,,,Others,,,,-1.39
Poonch (Haveli),GEN,Jammu & Kashmir,INC,68.50%,M,,4.29,,,Others,,,,8.88
Porbandar,GEN,Gujarat,BJP,49.30%,M,BJP,12.5,PATEL HARILAL MADHAVJIBHAI (HARIBHAI PATEL),0,8th Pass,7041540,1738534,51,39.89
Pratapgarh,GEN,Uttar Pradesh ,Samajwadi Party,43.00%,M,INC,5,AKSHAY PRATAP SINGH (GOPAL JI),26,Literate,2169847,0,38,3.85
Pudukkottai,GEN,Tamil Nadu,Dravida Munetra Kazhagam,66.20%,M,M.G.R.Anna D.M.Kazhagam,8.84,"REGUPATHY, S.",2,Graduate Professional,15938121,1326075,53,-2.42
Pune,GEN,Maharashtra,INC,47.80%,M,BJP,10.7,KALMADI SURESH,1,Graduate,39947625,1700000,59,10.43
Puri,GEN,Orissa,Biju Janata Dal,69.00%,M,Biju Janata Dal,21.93,BRAJA KISHORE TRIPATHY,0,Post Graduate,4197384,0,57,22.81
Purnea,GEN,Bihar ,BJP,60.10%,M,Independent,-6.57,UDAY SINGH,0,12th Pass,30654143,731440,44,-16.27
Purulia,GEN,West Bengal,All India Forward Bloc,70.00%,M,All India Forward Bloc,2.66,Bir Singh Mahato,2,Post Graduate,1474102,314287,58,3.56
Quilon,GEN,Kerala,Communist Party Of India (MARXIST),68.10%,M,Communist Party Of India (MARXIST),5.57,P. RAJENDRAN,0,Post Graduate,2242499,227054,53,-1.39
Rae Bareli,GEN,Uttar Pradesh ,INC,43.30%,F,INC,5,Sonia Gandhi,,Others,,,,3.85
Rae Bareli,GEN,Uttar Pradesh ,INC,48.40%,F,INC,5,SONIA GANDHI,0,Others,8568694,0,58,3.85
Raichur,GEN,Karnataka,INC,58.40%,M,INC,3.22,A.VENKATESH NAIK,0,12th Pass,5615514,447987,66,-12.81
Raiganj,GEN,West Bengal,INC,79.60%,M,INC,2.66,Priya Ranjan Dasmunsi,0,Post Graduate,7504280,3.00E+06,59,3.56
Raigarh,ST,Chhattisgarh,BJP,62.40%,M,BJP,18.79,VISHNUDEO SAI,0,12th Pass,899500,70546,39,43.14
Raipur,GEN,Chhattisgarh,BJP,50.30%,M,BJP,18.79,RAMESH BAIS,0,12th Pass,9690604,0,,43.14
Rajahmundry,GEN,Andhra Pradesh,INC,75.90%,M,BJP,6.29,ARUNA KUMAR VUNDAVALLI,2,Graduate Professional,23431318,881017,50,15.14
Rajampet,GEN,Andhra Pradesh,INC,69.50%,M,Telugu Desam,6.29,ANNAYYAGARI SAI PRATHAP,0,12th Pass,9709190,1160909,59,15.14
Rajapur,GEN,Maharashtra,Shiv Sena,57.50%,M,Shiv Sena,10.7,SURESH PRABHAKAR PRABHU,1,Doctorate,4520169,0,50,10.43
Rajgarh,GEN,Madhya Pradesh ,BJP,46.90%,M,INC,-2.8,LAKSHMAN SINGH,0,Graduate,49014404,21893,49,36.75
Rajkot,GEN,Gujarat,BJP,32.60%,M,BJP,12.5,DR. KATHIRIA VALLABHBHAI RAMJIBHAI,0,Graduate Professional,7971781,110729,49,39.89
Rajmahal,ST,Jharkhand,Jharkhand Mukti Morcha,64.50%,M,INC,8.97,HEMLAL MURMU,1,Others,1680400,0,52,3.16
Rajnandgaon,GEN,Chhattisgarh,BJP,59.20%,M,BJP,18.79,PRADEEP GANDHI,0,Graduate,1699397,486000,39,43.14
Rajnandgaon,GEN,Chhattisgarh,INC,63.30%,M,BJP,18.79,Dev Wrat Singh,,Others,,,,43.14
Ramanathapuram,GEN,Tamil Nadu,Dravida Munetra Kazhagam,58.60%,F,All India Anna Dravida Munnetra Kazhagam,8.84,BHAVANI RAJENTHIRAN. M. S. K.,0,Post Graduate,15150840,5.00E+05,49,-2.42
Rampur,GEN,Uttar Pradesh ,Samajwadi Party,57.10%,F,INC,5,P. JAYA PRADA NAHATA,0,12th Pass,84275000,3.00E+05,42,3.85
Ramtek,GEN,Maharashtra,Shiv Sena,56.30%,M,Shiv Sena,10.7,MOHITE SUBODH BABURAO,4,Graduate Professional,4472038,0,42,10.43
Ramtek,GEN,Maharashtra,SHS,46.90%,M,Shiv Sena,10.7,Jadhav Prakash Bhagwantrao,,Others,,,,10.43
Ranchi,GEN,Jharkhand,INC,50.50%,M,BJP,8.97,SUBODH KANT SAHAY,0,Graduate,12291253,829561,53,3.16
Rasipuram,SC,Tamil Nadu,INC,61.20%,F,All India Anna Dravida Munnetra Kazhagam,8.84,RANI. K,1,Post Graduate,13775000,2077289,45,-2.42
Ratnagiri,GEN,Maharashtra,Shiv Sena,61.30%,M,Shiv Sena,10.7,ANANT GEETE,0,12th Pass,5518754,1200000,52,10.43
Rewa,GEN,Madhya Pradesh ,BJP,43.10%,M,INC,-2.8,CHANDRAMANI TRIPATHI,1,Graduate Professional,1062399,40000,56,36.75
Roberts Ganj,SC,Uttar Pradesh,BSP,48.70%,M,,5,Bhai Lal,,Others,,,,3.85
Robertsganj,SC,Uttar Pradesh ,Bahujan Samaj Party,43.60%,M,BJP,5,LALCHANDRA,0,Literate,88030,165515,55,3.85
Rohtak,GEN,Haryana,INC,62.70%,M,Indian National Lok Dal,9.42,BHUPINDER SINGH,1,Graduate Professional,9486571,457151,54,7.73
Rohtak,GEN,Haryana,INC,49.90%,M,Indian National Lok Dal,9.42,Deependra Singh,,Others,,,,7.73
Ropar,SC,Punjab,Shiromani Akali Dal,58.70%,M,INC,4.08,SUKHDEV SINGH LIBRA,0,10th Pass,10332944,0,72,5.76
Rosera,SC,Bihar ,Lok Jan Shakti Party,57.30%,M,Janata Dal (United),-6.57,RAM CHANDRA PASWAN,0,10th Pass,4204913,0,43,-16.27
Sabarkantha,GEN,Gujarat,INC,51.40%,M,INC,12.5,MADHUSUDAN MISTRY,0,Post Graduate,1826173,125000,59,39.89
Sagar,SC,Madhya Pradesh ,BJP,38.30%,M,BJP,-2.8,VIRENDRA KUMAR,0,Post Graduate,1429786,0,51,36.75
Saharanpur,GEN,Uttar Pradesh ,Samajwadi Party,63.20%,M,Bahujan Samaj Party,5,RASHEED MASOOD,1,Post Graduate,26175490,3050977,53,3.85
Saharsa,GEN,Bihar ,Lok Jan Shakti Party,57.30%,F,Janata Dal (United),-6.57,RANJEET RANJAN,0,12th Pass,2549000,0,31,-16.27
Saidpur,SC,Uttar Pradesh ,Samajwadi Party,46.30%,M,Samajwadi Party,5,TUFANI SAROJ,0,Graduate,4558332,0,45,3.85
Salem,GEN,Tamil Nadu,INC,59.20%,M,All India Anna Dravida Munnetra Kazhagam,8.84,THANGKABALU K. V.,0,Post Graduate,56185835,0,55,-2.42
Salempur,GEN,Uttar Pradesh ,Samajwadi Party,45.10%,M,Bahujan Samaj Party,5,HARIKEVAL PRASAD,0,Others,3037000,0,66,3.85
Salumber,ST,Rajasthan,BJP,49.20%,M,INC,2.12,MAHAVEER BHAGORA,1,Post Graduate,3026777,0,52,81.37
Samastipur,GEN,Bihar ,Rashtriya Janata Dal,60.30%,M,Janata Dal (United),-6.57,ALOK KUMAR MEHTA,0,Graduate Professional,6794434,0,35,-16.27
Sambalpur,GEN,Orissa,Biju Janata Dal,65.30%,M,Biju Janata Dal,21.93,PRASANNA ACHARYA,0,Graduate Professional,10184422,874591,54,22.81
Sambhal,GEN,Uttar Pradesh ,Samajwadi Party,60.80%,M,Samajwadi Party,5,PRO. RAM GOPAL YADAV,0,Doctorate,7953884,475000,56,3.85
Sangli,GEN,Maharashtra,INC,58.40%,M,INC,10.7,Patil Prakashbapu Vasantdada,0,Graduate,35635000,0,56,10.43
Sangli,GEN,Maharashtra,INC,50.40%,M,INC,10.7,Patil Pratik Prakashbapu,,Others,,,,10.43
Sangrur,GEN,Punjab,Shiromani Akali Dal,69.00%,M,Shiromani Akali Dal (SIMRANJIT SINGH MANN),4.08,SUKHDEV SINGH DHINDSA,0,Graduate,13984341,0,67,5.76
Sanwer,SC,Madhya Pradesh,INC,62.40%,M,,-2.8,,,Others,,,,36.75
Sarangarh,SC,Chhattisgarh,BJP,49.30%,M,BJP,18.79,GUHARAM AJGALLE,0,Graduate Professional,1768900,0,37,43.14
Sasaram,SC,Bihar ,INC,54.00%,F,BJP,-6.57,MEIRA KUMAR,0,Post Graduate,28956730,3600000,57,-16.27
Satara,GEN,Maharashtra,Nationalist Congress Party,58.60%,M,Nationalist Congress Party,10.7,LAXMANRAO PANDURANG JADHAV (PATIL),0,10th Pass,9925739,50403,66,10.43
Satna,GEN,Madhya Pradesh ,BJP,46.00%,M,BJP,-2.8,GANESH SINGH,2,Post Graduate,2548143,236038,42,36.75
Sawai Madhopur,ST,Rajasthan,INC,49.60%,M,BJP,2.12,NAMO NARAIN,0,Post Graduate,5234897,4.00E+05,60,81.37
Secunderabad,GEN,Andhra Pradesh,INC,52.60%,M,BJP,6.29,M. ANJAN KUMAR YADAV,0,12th Pass,4250700,810500,39,15.14
Seoni,GEN,Madhya Pradesh ,BJP,49.70%,F,BJP,-2.8,NEETA PATERIYA,0,Post Graduate,3239103,41965,41,36.75
Serampore,GEN,West Bengal,Communist Party Of India (MARXIST),73.40%,M,All India Trinamool Congress,2.66,Santasri Chatterjee,0,Graduate,1698395,0,64,3.56
Shahabad,GEN,Uttar Pradesh ,Bahujan Samaj Party,46.10%,M,Bahujan Samaj Party,5,ILIYAS AZMI,0,Graduate,19683626,0,63,3.85
Shahdol,ST,Madhya Pradesh ,BJP,39.00%,M,BJP,-2.8,DALPAT SINGH PARASTE,0,Graduate,6811000,0,53,36.75
Shahjahanpur,GEN,Uttar Pradesh ,INC,51.10%,M,INC,5,KUNWAR JITIN PRASAD,0,Post Graduate,17113691,652823,30,3.85
Shajapur,SC,Madhya Pradesh ,BJP,54.20%,M,BJP,-2.8,THAWAR CHAND GEHLOT,0,Graduate,2016554,0,56,36.75
Sheohar,GEN,Bihar ,Rashtriya Janata Dal,54.90%,M,Rashtriya Janata Dal,-6.57,SITARAM SINGH,0,Graduate,4624000,0,40,-16.27
Shillong,GEN,Meghalaya,INC,46.80%,M,INC,18.02,PATY RIPPLE KYNDIAH,0,Graduate,4078978,0,75,1.81
Shimoga,GEN,Karnataka,BJP,70.50%,M,INC,3.22,S. BANGARAPPA,2,Graduate,33302318,8298000,71,-12.81
Shimoga,GEN,Karnataka,SP,58.20%,M,INC,3.22,S.Bangarappa,,Others,,,,-12.81
Sholapur,GEN,Maharashtra,BJP,55.40%,M,INC,10.7,DESHMUKH SUBHASH SURESHCHANDRA,0,10th Pass,37495282,64522,46,10.43
Siddipet,SC,Andhra Pradesh,INC,64.80%,M,Telugu Desam,6.29,SARVEY SATHYANARAYANA,0,Graduate Professional,1110000,480000,49,15.14
Sidhi,GEN,Madhya Pradesh,INC,55.20%,M,INC,-2.8,,,Others,,,,36.75
Sidhi,ST,Madhya Pradesh ,BJP,42.20%,M,BJP,-2.8,CHANDRAPRATAP SINGH,0,12th Pass,795619,126764,45,36.75
Sikar,GEN,Rajasthan,BJP,52.70%,M,BJP,2.12,SUBHASH MEHARIA,0,Graduate,13267020,534287,46,81.37
Sikkim,GEN,Sikkim,Sikkim Democratic Front,76.40%,M,Sikkim Democratic Front,4.41,NAKUL DAS RAI,0,Graduate,6890766,1494475,45,7.76
Silchar,GEN,Assam,INC,69.10%,M,INC,9.51,SONTOSH MOHAN DEV,0,Graduate,12356601,170759,70,1.51
Simla,SC,Himachal Pradesh,INC,51.60%,M,Himachal Vikash Congress,8.83,DHANI RAM SHANDIL,0,Doctorate,9272958,958,63,11.5
Singhbhum,ST,Jharkhand,INC,56.60%,M,BJP,8.97,BAGUN SUMBRAI,0,10th Pass,4532035,2.00E+05,80,3.16
Sirsa,SC,Haryana,INC,69.00%,M,Indian National Lok Dal,9.42,ATMA SINGH GILL,0,5th Pass,1302714,280000,66,7.73
Sitamarhi,GEN,Bihar ,Rashtriya Janata Dal,54.60%,M,Janata Dal (United),-6.57,SITARAM YADAV,2,Graduate Professional,4805008,404410,56,-16.27
Sitapur,GEN,Uttar Pradesh ,Bahujan Samaj Party,46.20%,M,Bahujan Samaj Party,5,RAJESH VERMA,0,Post Graduate,4850000,1004319,43,3.85
Sivaganga,GEN,Tamil Nadu,INC,61.30%,M,INC,8.84,"CHIDAMBARAM, P.",0,Post Graduate,179861587,0,58,-2.42
Sivakasi,GEN,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,63.00%,M,Marumalarchi Dravida Munnetra Kazhagam,8.84,"RAVICHANDRAN, A",0,Graduate,3058910,0,38,-2.42
Siwan,GEN,Bihar ,Rashtriya Janata Dal,60.50%,M,Rashtriya Janata Dal,-6.57,MOHAMMAD SHAHABUDDIN,19,Doctorate,3447000,428930,38,-16.27
Sonepat,GEN,Haryana,BJP,64.70%,M,BJP,9.42,KISHAN SINGH SANGWAN,0,Post Graduate,7777238,847138,54,7.73
South Delhi,GEN,Delhi ,BJP,47.00%,M,BJP,-7.86,VIJAY KUMAR MALHOTRA,0,Doctorate,8988478,0,72,1.01
Srikakulam,GEN,Andhra Pradesh,Telugu Desam,75.40%,M,Telugu Desam,6.29,,,Others,,,,15.14
Srinagar,GEN,Jammu & Kashmir,Jammu & Kashmir National Conference,18.60%,M,Jammu & Kashmir National Conference,4.29,OMAR ABDULLAH,0,Graduate,19684236,54998,32,8.88
Sriperumbudur,SC,Tamil Nadu,Dravida Munetra Kazhagam,59.20%,M,Dravida Munetra Kazhagam,8.84,KRISHNASWAMY. A,2,Graduate Professional,2214854,0,38,-2.42
Sultanpur,GEN,Uttar Pradesh ,Bahujan Samaj Party,49.20%,M,Bahujan Samaj Party,5,MOHD. TAHIR,1,12th Pass,116697,0,28,3.85
Sundargarh,ST,Orissa,BJP,60.60%,M,BJP,21.93,JUAL ORAM,3,10th Pass,5746675,8.00E+05,43,22.81
Surat,GEN,Gujarat,BJP,37.70%,M,BJP,12.5,KASHIRAM RANA,0,Graduate Professional,7677857,0,65,39.89
Surendranagar,GEN,Gujarat,BJP,41.10%,M,INC,12.5,,,Others,,,,39.89
