"","Constituency","Type","State","Party","Turnout","Gender","PrevParty","GSDP","Candidate","Criminal.Case","Education","Total.Assets","Liabilities","CandidateAge","GrowthRateAgri","Year","PredictedValue"
"335","Mandi","GEN","Himachal Pradesh","BJP",63.1,"M","INC",2.43,"Ram Swaroop Sharma",0,"10th Pass",10178871,571823,55,13.35,"2014","INC"
"336","Mandla","ST","Madhya Pradesh","BJP",66.8,"M","INC",2.15,"Faggan Singh Kulaste",2,"Post Graduate",25738420,98311,54,23.28,"2014","INC"
"337","Mandsour","GEN","Madhya Pradesh","BJP",71.4,"M","INC",2.15,"Sudhir Gupta",0,"Post Graduate",57429237,3058993,54,23.28,"2014","INC"
"338","Mandya","GEN","Karnataka","Others",71.5,"M","Others",2.12,"C.S.Puttaraju",0,"12th Pass",45209196,11231000,50,1.25,"2014","Others"
"339","Mangaldoi","GEN","Assam","BJP",81.4,"M","BJP",4.28,"Ramen Deka",0,"Graduate",14782357,5400953,59,4.59,"2014","INC"
"340","Mathura","GEN","Uttar Pradesh","BJP",64,"F","Others",0.36,"Hema Malini",0,"Doctorate",1782015620,231234174,65,2.59,"2014","Others"
"341","Mathurapur","SC","West Bengal","Others",85,"M","Others",8.74,"Choudhury Mohan Jatua",0,"Post Graduate",4857752,0,75,5.38,"2014","Others"
"342","Maval","GEN","Maharashtra","Others",60.1,"M","Others",8.78,"Appa Alias Shrirang Chandu Barne",2,"8th Pass",665047926,11799786,50,3.99,"2014","Others"
"343","Mavelikara","SC","Kerala","INC",71,"M","INC",18.41,"Kodikunnil Suresh",1,"Graduate Professional",13251330,3439654,52,4.39,"2014","INC"
"344","Mayiladuthurai","GEN","Tamil Nadu","Others",76,"M","Others",3.11,"Bharathi Mohan R.K",1,"12th Pass",7378589,969756,47,7.33,"2014","INC"
"345","Mayurbhanj","ST","Orissa","Others",79.4,"M","Others",5.74,"Rama Chandra Hansdah",0,"Graduate",3630888,0,49,-3.25,"2014","Others"
"346","Medak","GEN","Telangana","Others",77.5,"M","Others",2.44,"Kalvakuntla Chandrasekhar Rao",2,"Graduate",151582464,78753620,60,6.15,"2014","Others"
"347","Medinipur","GEN","West Bengal","Others",84,"F","Others",8.74,"Sandhya Roy",0,"Literate",31031095,0,73,5.38,"2014","Others"
"348","Meerut","GEN","Uttar Pradesh","BJP",63.1,"M","BJP",0.36,"Rajendra Agarwal",2,"Post Graduate",8803517,3074600,64,2.59,"2014","INC"
"349","Mirzapur","GEN","Uttar Pradesh","Others",58.6,"F","Others",0.36,"Anupriya Singh Patel",2,"Post Graduate",26858156,1805603,33,2.59,"2014","Others"
"350","Misrikh","SC","Uttar Pradesh","BJP",57.9,"F","Others",0.36,"Anju Bala",0,"Post Graduate",37618214,1200000,34,2.59,"2014","Others"
"351","Mizoram","ST","Mizoram","INC",61.7,"M","INC",2.11,"C. L. Ruala",0,"Graduate",25733421,0,78,0.04,"2014","INC"
"352","Mohanlalganj","SC","Uttar Pradesh","BJP",60.7,"M","Others",0.36,"Kaushal Kishore",2,"12th Pass",21128221,0,53,2.59,"2014","Others"
"353","Moradabad","GEN","Uttar Pradesh","BJP",63.7,"M","INC",0.36,"Kunwer Sarvesh Kumar",4,"10th Pass",72866898,6e+05,62,2.59,"2014","INC"
"354","Morena","GEN","Madhya Pradesh","BJP",50.2,"M","BJP",2.15,"Anoop Mishra",0,"12th Pass",110523112,6878160,57,23.28,"2014","BJP"
"355","Mumbai North","GEN","Maharashtra","BJP",53.1,"M","INC",8.78,"Gopal Chinayya Shetty",10,"5th Pass",95617889,0,62,3.99,"2014","Others"
"356","Mumbai North Central","GEN","Maharashtra","BJP",48.6,"M","INC",8.78,"Poonam Mahajan Alias Poonam Vajendla Rao",0,"Others",1080867626,414479088,60,3.99,"2014","Others"
"357","Mumbai North East","GEN","Maharashtra","BJP",51.7,"F","INC",8.78,"Kirit Somaiya",10,"Doctorate",72156258,6593325,33,3.99,"2014","Others"
"358","Mumbai North West","GEN","Maharashtra","Others",50.4,"M","Others",8.78,"Gajanan Chandrakant Kirtikar",0,"Graduate",58352000,2257000,60,3.99,"2014","Others"
"359","Mumbai South","GEN","Maharashtra","Others",52.5,"M","INC",8.78,"Arvind Sawant",1,"Graduate",13067446,0,70,3.99,"2014","INC"
"360","Mumbai South Central","GEN","Maharashtra","Others",53.1,"M","INC",8.78,"Rahul Ramesh Shewale",1,"Others",13304397,10502345,41,3.99,"2014","Others"
"361","Munger","GEN","Bihar","Others",53.9,"F","Others",11.53,"Veena Devi",0,"8th Pass",31162836,0,41,-10.06,"2014","BJP"
"362","Murshidabad","GEN","West Bengal","Others",85.2,"M","INC",8.74,"Badaruddoza Khan",0,"Graduate Professional",2758610,0,60,5.38,"2014","INC"
"363","Muzaffarnagar","GEN","Uttar Pradesh","BJP",69.7,"M","Others",0.36,"(DR.) SANJEEV KUMAR BALYAN",1,"Doctorate",10794222,3090803,41,2.59,"2014","Others"
"364","Muzaffarpur","GEN","Bihar","BJP",61.2,"M","Others",11.53,"Ajay Nishad",0,"Graduate",145712654,989888,45,-10.06,"2014","BJP"
"365","Mysore","GEN","Karnataka","BJP",67.3,"M","INC",2.12,"Prathap Simha",0,"Post Graduate",6321591,4399048,37,1.25,"2014","Others"
"366","Nabarangpur","ST","Orissa","Others",78.8,"M","INC",5.74,"Balabhadra Majhi",0,"Graduate",52977088,705404,53,-3.25,"2014","INC"
"367","Nagaland","ST","Nagaland","Others",87.8,"M","Others",7.72,"Neiphiu Rio",0,"Graduate",315834264,0,63,4,"2014","Others"
"368","Nagapattinam","SC","Tamil Nadu","Others",77.8,"M","Others",3.11,"Gopal. Dr. K",0,"Graduate Professional",19074709,13629120,54,7.33,"2014","Others"
"369","Nagarkurnool","SC","Telangana","INC",75.1,"M","INC",2.44,"Yellaiah Nandi",0,"12th Pass",7048969,0,71,6.15,"2014","Others"
"370","Nagaur","GEN","Rajasthan","BJP",59.8,"M","INC",3.55,"C R Choudhary",0,"Post Graduate",17921949,0,66,0.22,"2014","INC"
"371","Nagina","SC","Uttar Pradesh","BJP",63.1,"M","Others",0.36,"Yashwant Singh",0,"Post Graduate",34806740,0,52,2.59,"2014","Others"
"372","Nagpur","GEN","Maharashtra","BJP",57.1,"M","INC",8.78,"Gadkari Nitin Jairam",4,"Graduate Professional",153704475,19004037,56,3.99,"2014","INC"
"373","Nainital-Udhamsingh Nagar","GEN","Uttarakhand","BJP",68.4,"M","INC",6.3,"Bhagat Singh Koshyari",0,"Post Graduate",5562704,0,72,4.12,"2014","INC"
"374","Nalanda","GEN","Bihar","Others",47.2,"M","Others",11.53,"Kaushlendra Kumar",0,"12th Pass",11812717,477000,49,-10.06,"2014","INC"
"375","Nalgonda","GEN","Telangana","INC",79.5,"M","INC",2.44,"Gutha Sukhender Reddy",1,"12th Pass",85907866,10103677,60,6.15,"2014","Others"
"376","Namakkal","GEN","Tamil Nadu","Others",79.6,"M","Others",3.11,"Sundaram P.R",0,"Graduate",126539914,92677412,62,7.33,"2014","Others"
"377","Nanded","GEN","Maharashtra","INC",60.1,"M","INC",8.78,"Ashok Shankarrao Chavan",0,"Post Graduate",388758910,30513286,55,3.99,"2014","INC"
"378","Nandurbar","ST","Maharashtra","BJP",66.8,"F","INC",8.78,"Dr.Gavit Heena Vaijaykumar",0,"Graduate Professional",131103963,7571753,26,3.99,"2014","INC"
"379","Nandyal","GEN","Andhra Pradesh","Others",76.4,"M","INC",2.44,"S.P.Y Reddy",2,"Graduate Professional",219578079,1077820,64,6.15,"2014","INC"
"380","Narasaraopet","GEN","Andhra Pradesh","Others",84.6,"M","Others",2.44,"Sambasiva Rao Rayapati",2,"Graduate",595838093,56263516,70,6.15,"2014","Others"
"381","Narsapuram","GEN","Andhra Pradesh","BJP",82.2,"M","INC",2.44,"Gokaraju Ganga Raju",1,"Graduate",2883567122,168501286,69,6.15,"2014","INC"
"382","Nashik","GEN","Maharashtra","Others",58.8,"M","Others",8.78,"Godse Hemant Tukaram",1,"12th Pass",83628253,23559648,43,3.99,"2014","Others"
"383","Navsari","GEN","Gujarat","BJP",65.8,"M","BJP",7.12,"C. R. Patil",7,"10th Pass",744761133,405888122,59,-6.96,"2014","BJP"
"384","Nawada","GEN","Bihar","BJP",52.8,"M","BJP",11.53,"Giriraj Singh",1,"Graduate",50054771,0,61,-10.06,"2014","BJP"
"385","Nellore","GEN","Andhra Pradesh","Others",73.9,"M","INC",2.44,"Mekapati Rajamohan Reddy",2,"Graduate Professional",361746068,0,69,6.15,"2014","INC"
"386","New Delhi","GEN","Delhi","BJP",65.1,"F","INC",1.36,"Meenakashi Lekhi",0,"Graduate Professional",349916470,3275562,46,3.21,"2014","INC"
"387","Nilgiris","SC","Tamil Nadu","Others",73.5,"M","Others",3.11,"Gopalakrishnan, C.",0,"Post Graduate",10941189,1224754,52,7.33,"2014","Others"
"388","Nizamabad","GEN","Telangana","Others",69.1,"F","INC",2.44,"Kalvakuntla Kavitha",8,"Graduate Professional",61955750,3213119,36,6.15,"2014","Others"
"389","North East Delhi","GEN","Delhi","BJP",67.3,"M","INC",1.36,"Manoj Tiwari",0,"Post Graduate",199483924,34645630,43,3.21,"2014","INC"
"390","North Goa","GEN","Goa","BJP",78.9,"M","BJP",-4.86,"Shripad Yesso Naik",0,"Graduate",37019154,837843,61,-4.53,"2014","Others"
"391","North West Delhi","SC","Delhi","BJP",61.8,"M","INC",1.36,"Udit Raj",1,"Doctorate",44902363,0,56,3.21,"2014","INC"
"392","Nowgong","GEN","Assam","BJP",80.7,"M","BJP",4.28,"Rajen Gohain",1,"Graduate Professional",24736544,5328287,63,4.59,"2014","INC"
"393","Ongole","GEN","Andhra Pradesh","Others",82.2,"M","INC",2.44,"Y.V.Subba Reddy",0,"Post Graduate",735451548,240557614,53,6.15,"2014","INC"
"394","Osmanabad","GEN","Maharashtra","Others",64.8,"M","Others",8.78,"Gaikwad Ravindra Vishwanath",8,"Post Graduate",32852793,5962702,54,3.99,"2014","Others"
"395","Outer Manipur","ST","Manipur","INC",84,"M","INC",1.98,"Thangso Baite",0,"Post Graduate",5947000,880000,61,2.61,"2014","INC"
"396","Palakkad","GEN","Kerala","Others",75.3,"M","Others",18.41,"M B Rajesh",11,"Graduate Professional",4676316,700680,43,4.39,"2014","Others"
"397","Palamau","SC","Jharkhand","BJP",59.4,"M","Others",11.62,"Vishnu Dayal Ram",0,"Graduate",24753886,0,62,8.3,"2014","Others"
"398","Palghar","ST","Maharashtra","BJP",62.9,"M","Others",8.78,"Adv. Chintaman Navasha Wanga",0,"Graduate Professional",5809644,401000,63,3.99,"2014","Others"
"399","Pali","GEN","Rajasthan","BJP",57.9,"M","INC",3.55,"P P Choudhary",0,"Graduate Professional",353503467,7892216,60,0.22,"2014","INC"
"400","Panchmahal","GEN","Gujarat","BJP",59.2,"M","BJP",7.12,"Chauhan Prabhatsinh Pratapsinh",3,"10th Pass",10464000,0,72,-6.96,"2014","BJP"
"401","Parbhani","GEN","Maharashtra","Others",64.4,"M","Others",8.78,"Jadhav Sanjay (BANDU) HARIBHAU",7,"10th Pass",31016711,5976851,47,3.99,"2014","Others"
"402","Paschim Champaran","GEN","Bihar","BJP",60.5,"M","BJP",11.53,"Dr. Sanjay Jaiswal",2,"Post Graduate",35941299,6197804,49,-10.06,"2014","BJP"
"403","Pataliputra","GEN","Bihar","BJP",56.4,"M","Others",11.53,"Ram Kripal Yadav",1,"Graduate",13989431,2100000,53,-10.06,"2014","BJP"
"404","Patan","GEN","Gujarat","BJP",58.7,"M","INC",7.12,"Liladharbhai Khodaji Vaghela",0,"Graduate Professional",15384027,0,80,-6.96,"2014","BJP"
"405","Pathanamthitta","GEN","Kerala","INC",65.7,"M","INC",18.41,"Anto Antony",0,"Graduate",5410884,4211050,57,4.39,"2014","INC"
"406","Patiala","GEN","Punjab","Others",70.9,"M","INC",2.55,"Dr. Dharam Vira Gandhi",0,"Graduate Professional",45115421,0,63,0.44,"2014","INC"
"407","Patna Sahib","GEN","Bihar","BJP",45.3,"M","BJP",11.53,"Shatrughana Sinha",1,"Graduate",1317405961,168760929,67,-10.06,"2014","BJP"
"408","Peddapalli","SC","Telangana","Others",71.7,"M","INC",2.44,"Balka Suman",1,"Post Graduate",7351329,620770,31,6.15,"2014","INC"
"409","Perambalur","GEN","Tamil Nadu","Others",80.2,"M","Others",3.11,"Marutharajaa, R.P.",0,"Post Graduate",24570213,0,51,7.33,"2014","INC"
"410","Phulpur","GEN","Uttar Pradesh","BJP",50.2,"M","Others",0.36,"Keshav Prasad Maurya",11,"Graduate",93244143,24381051,47,2.59,"2014","Others"
"411","Pilibhit","GEN","Uttar Pradesh","BJP",62.9,"F","BJP",0.36,"Maneka Sanjay Gandhi",1,"12th Pass",374132826,219202,57,2.59,"2014","INC"
"412","Pollachi","GEN","Tamil Nadu","Others",73.3,"M","Others",3.11,"Mahendran.C",0,"Post Graduate",231430367,18128825,42,7.33,"2014","INC"
"413","Pondicherry","GEN","Pondicherry","Others",82.1,"M","INC",2.68,"R. Radhakrishnan",0,"Post Graduate",77724418,7658530,67,22.88,"2014","INC"
"414","Ponnani","GEN","Kerala","Others",73.8,"M","Others",18.41,"E. T. Mohammed Basheer",0,"10th Pass",13216259,0,55,4.39,"2014","Others"
"415","Porbandar","GEN","Gujarat","BJP",52.6,"M","INC",7.12,"Radadiya Vithalbhai Hansrajbhai",10,"Graduate",73003639,316000,64,-6.96,"2014","BJP"
"416","Pratapgarh","GEN","Uttar Pradesh","Others",52.1,"M","INC",0.36,"Kuwar Harivansh Singh",5,"Graduate",383137665,149404112,42,2.59,"2014","Others"
"417","Pune","GEN","Maharashtra","BJP",54.1,"M","INC",8.78,"Anil Shirole",2,"Graduate",227615279,4781007,63,3.99,"2014","INC"
"418","Puri","GEN","Orissa","Others",74,"M","Others",5.74,"Pinaki Misra",0,"Graduate Professional",1370991203,19975839,54,-3.25,"2014","Others"
"419","Purnia","GEN","Bihar","Others",64.3,"M","BJP",11.53,"Santosh Kumar",3,"12th Pass",22316594,1406515,35,-10.06,"2014","BJP"
"420","Purulia","GEN","West Bengal","Others",81.8,"M","Others",8.74,"Dr. Mriganka Mahato",0,"Graduate Professional",8895210,0,51,5.38,"2014","Others"
"421","Purvi Champaran","GEN","Bihar","BJP",56.6,"M","BJP",11.53,"Radha Mohan Singh",0,"Graduate",22558073,4270360,64,-10.06,"2014","BJP"
"422","Rae Bareli","GEN","Uttar Pradesh","INC",51.7,"F","INC",0.36,"Sonia Gandhi",0,"Others",92895288,0,67,2.59,"2014","INC"
"423","Raichur","ST","Karnataka","INC",58.3,"M","BJP",2.12,"B.V.Nayak",0,"Graduate Professional",73502466,0,48,1.25,"2014","INC"
"424","Raigad","GEN","Maharashtra","Others",64.4,"M","Others",8.78,"Anant Geete",0,"10th Pass",44466487,23968087,63,3.99,"2014","Others"
"425","Raiganj","GEN","West Bengal","Others",79.9,"M","INC",8.74,"Md. Salim",0,"Post Graduate",8318013,0,56,5.38,"2014","INC"
"426","Raigarh","ST","Chhattisgarh","BJP",77.6,"M","BJP",6.42,"Vishnu Deo Sai",0,"10th Pass",21576220,1819686,50,2.28,"2014","INC"
"427","Raipur","GEN","Chhattisgarh","BJP",65.7,"M","BJP",6.42,"Ramesh Bais",0,"12th Pass",73190135,274902,66,2.28,"2014","INC"
"428","Rajahmundry","GEN","Andhra Pradesh","Others",81.2,"M","INC",2.44,"Murali Mohan Maganti",1,"12th Pass",180822216,12245000,73,6.15,"2014","INC"
"429","Rajampet","GEN","Andhra Pradesh","Others",77.9,"M","INC",2.44,"P.V.Midhun Reddy",1,"Post Graduate",225984036,8183862,36,6.15,"2014","INC"
"430","Rajgarh","GEN","Madhya Pradesh","BJP",64,"M","INC",2.15,"Rodmal Nagar",0,"Graduate",28569974,3586473,53,23.28,"2014","INC"
"431","Rajkot","GEN","Gujarat","BJP",63.8,"M","INC",7.12,"Kundariya Mohanbhai Kalyanjibhai",0,"8th Pass",39512950,2335530,62,-6.96,"2014","INC"
"432","Rajmahal","ST","Jharkhand","Others",70.3,"M","BJP",11.62,"Vijay Kumar Hansdak",1,"5th Pass",6863306,0,31,8.3,"2014","Others"
"433","Rajnandgaon","GEN","Chhattisgarh","BJP",74.2,"M","BJP",6.42,"Abhishek Singh",0,"Graduate Professional",44093207,0,33,2.28,"2014","Others"
"434","Rajsamand","GEN","Rajasthan","BJP",57.8,"M","INC",3.55,"Hariom Singh Rathore",0,"Graduate",188310824,2728752,56,0.22,"2014","INC"
"435","Ramanathapuram","GEN","Tamil Nadu","Others",68.8,"M","Others",3.11,"Anwhar Raajhaa.A",0,"Graduate",33582876,2700000,65,7.33,"2014","Others"
"436","Rampur","GEN","Uttar Pradesh","BJP",59.2,"M","Others",0.36,"Dr. Nepal Singh",0,"Doctorate",27136042,1614820,74,2.59,"2014","Others"
"437","Ramtek","SC","Maharashtra","Others",62.6,"M","INC",8.78,"Krupal Balaji Tumane",1,"Graduate",46564362,216000,48,3.99,"2014","INC"
"438","Ranaghat","SC","West Bengal","Others",84.4,"M","Others",8.74,"Tapas Mandal",0,"Doctorate",8169115,2383416,42,5.38,"2014","Others"
"439","Ranchi","GEN","Jharkhand","BJP",63.7,"M","INC",11.62,"Ram Tahal Choudhary",0,"10th Pass",10743950,0,72,8.3,"2014","INC"
"440","Ratlam","ST","Madhya Pradesh","BJP",63.6,"M","INC",2.15,"Dileepsingh Bhuria",0,"10th Pass",12259882,0,68,23.28,"2014","BJP"
"441","Ratnagiri - Sindhudurg","GEN","Maharashtra","Others",65.6,"M","INC",8.78,"Vinayak Bhaurao Raut",5,"Post Graduate",44568629,2370842,60,3.99,"2014","INC"
"442","Raver","GEN","Maharashtra","BJP",63.3,"F","BJP",8.78,"Khadase Raksha Nikhil",0,"Graduate",144222841,0,26,3.99,"2014","INC"
"443","Rewa","GEN","Madhya Pradesh","BJP",53.7,"M","Others",2.15,"Janardan Mishra",0,"Graduate Professional",10156568,106977,58,23.28,"2014","BJP"
"444","Robertsganj","SC","Uttar Pradesh","BJP",54,"M","Others",0.36,"Chhotelal",0,"5th Pass",3687361,55313,41,2.59,"2014","Others"
"445","Rohtak","GEN","Haryana","INC",66.6,"M","INC",3.57,"Deepender Singh Hooda",0,"Post Graduate",358749354,39310300,36,3.18,"2014","INC"
"446","Sabarkantha","GEN","Gujarat","BJP",67.7,"M","BJP",7.12,"Rathod Dipsinh Shankarsinh",0,"8th Pass",20700176,417585,62,-6.96,"2014","INC"
"447","Sagar","GEN","Madhya Pradesh","BJP",58.7,"M","BJP",2.15,"Laxmi Narayan Yadav",1,"Graduate Professional",23962099,956348,73,23.28,"2014","BJP"
"448","Saharanpur","GEN","Uttar Pradesh","BJP",74.2,"M","Others",0.36,"Raghav Lakhanpal",0,"Post Graduate",35406431,0,39,2.59,"2014","INC"
"449","Salem","GEN","Tamil Nadu","Others",76.8,"M","Others",3.11,"Pannerselvam.V",0,"Graduate Professional",32268097,253282,55,7.33,"2014","Others"
"450","Salempur","GEN","Uttar Pradesh","BJP",51.4,"M","Others",0.36,"Ravindra Kushawaha",0,"12th Pass",7134477,0,50,2.59,"2014","Others"
"451","Samastipur","SC","Bihar","Others",57.4,"M","Others",11.53,"Ram Chandra Paswan",3,"10th Pass",13058612,0,53,-10.06,"2014","BJP"
"452","Sambalpur","GEN","Orissa","Others",75.9,"M","INC",5.74,"Nagendra Kumar Pradhan",0,"Graduate Professional",12796623,1461565,61,-3.25,"2014","INC"
"453","Sambhal","GEN","Uttar Pradesh","BJP",62.4,"M","Others",0.36,"Satyapal Singh",0,"Post Graduate",19904379,0,40,2.59,"2014","INC"
"454","Sangli","GEN","Maharashtra","BJP",63.5,"M","INC",8.78,"Sanjaykaka Patil",0,"10th Pass",108791027,19198050,49,3.99,"2014","INC"
"455","Sangrur","GEN","Punjab","Others",77.2,"M","INC",2.55,"Bhagwant Mann",0,"12th Pass",43057512,16281200,40,0.44,"2014","Others"
"456","Sant Kabir Nagar","GEN","Uttar Pradesh","BJP",53.1,"M","Others",0.36,"Sharad Tripathi",0,"Post Graduate",3697671,71800,42,2.59,"2014","Others"
"457","Saran","GEN","Bihar","BJP",56.1,"M","Others",11.53,"Rajiv Pratap Rudy",1,"Post Graduate",62545997,1008658,53,-10.06,"2014","BJP"
"458","Sarguja","ST","Chhattisgarh","BJP",78,"M","BJP",6.42,"Kamalbhan Singh Marabi",0,"Post Graduate",24773173,2995985,51,2.28,"2014","INC"
"459","Sasaram","SC","Bihar","BJP",52.7,"M","INC",11.53,"Chhedi Paswan",0,"Post Graduate",35776803,275000,58,-10.06,"2014","INC"
"460","Satara","GEN","Maharashtra","Others",56.8,"M","Others",8.78,"Shrimant Chh. Udayanraje Pratapsinha Bhonsale",23,"12th Pass",606089208,312941,48,3.99,"2014","Others"
"461","Satna","GEN","Madhya Pradesh","BJP",62.7,"M","BJP",2.15,"Ganesh Singh",2,"Post Graduate",37800000,0,51,23.28,"2014","BJP"
"462","Secundrabad","GEN","Telangana","BJP",53,"M","INC",2.44,"Bandaru Dattatreya",3,"Graduate",98255148,405469,66,6.15,"2014","INC"
"463","Shahdol","ST","Madhya Pradesh","BJP",62,"M","INC",2.15,"Dalpat Singh Paraste",0,"Graduate Professional",5524870,0,61,23.28,"2014","BJP"
"464","Shahjahanpur","SC","Uttar Pradesh","BJP",57.1,"F","Others",0.36,"Krishna Raj",0,"Post Graduate",16506411,3612812,46,2.59,"2014","Others"
"465","Sheohar","GEN","Bihar","BJP",56.6,"F","BJP",11.53,"Rama Devi",6,"Graduate Professional",308591850,0,65,-10.06,"2014","BJP"
"466","Shillong","ST","Meghalaya","INC",63.2,"M","INC",11.93,"Vincent H. Pala",0,"Graduate Professional",497108058,0,46,5.07,"2014","INC"
"467","Shimla","SC","Himachal Pradesh","BJP",64,"M","BJP",2.43,"Virender Kashyap",0,"Post Graduate",5228095,0,63,13.35,"2014","INC"
"468","Shimoga","GEN","Karnataka","BJP",72.3,"M","BJP",2.12,"B. S. Yeddyurappa",9,"12th Pass",69746267,5e+05,71,1.25,"2014","Others"
"469","Shirdi","SC","Maharashtra","Others",63.9,"M","Others",8.78,"Lokhande Sadashiv Kisan",1,"10th Pass",38294539,1497168,52,3.99,"2014","Others"
"470","Shirur","GEN","Maharashtra","Others",59.7,"M","Others",8.78,"Adhalrao Shivaji Dattatrey",10,"Others",253880475,61810866,59,3.99,"2014","Others"
"471","Shrawasti","GEN","Uttar Pradesh","BJP",54.8,"M","INC",0.36,"Daddan Mishra",0,"Post Graduate",20065527,228304,47,2.59,"2014","INC"
"472","Sidhi","GEN","Madhya Pradesh","BJP",57,"F","BJP",2.15,"Riti Pathak",0,"Post Graduate",33416561,0,36,23.28,"2014","INC"
"473","Sikar","GEN","Rajasthan","BJP",60.2,"M","INC",3.55,"Sumedhanand Saraswati",0,"Others",34311,0,62,0.22,"2014","Others"
"474","Sikkim","GEN","Sikkim","Others",83.4,"M","Others",9.37,"Prem Das Rai",0,"Post Graduate",32389223,0,59,3.37,"2014","Others"
"475","Silchar","GEN","Assam","INC",75.4,"F","BJP",4.28,"Sushmita Dev",1,"Post Graduate",87495844,12008613,41,4.59,"2014","INC"
"476","Singhbhum","ST","Jharkhand","BJP",69,"M","Others",11.62,"Laxman Giluwa",4,"12th Pass",8094301,108145,52,8.3,"2014","Others"
"477","Sirsa","SC","Haryana","Others",77,"M","INC",3.57,"Charanjeet Singh Rori",0,"10th Pass",8146887,3260000,43,3.18,"2014","Others"
"478","Sitamarhi","GEN","Bihar","Others",57.2,"M","Others",11.53,"Ram Kumar Sharma",0,"Post Graduate",9265000,82000,50,-10.06,"2014","BJP"
"479","Sitapur","GEN","Uttar Pradesh","BJP",66.3,"M","Others",0.36,"Rajesh Verma",0,"Post Graduate",41418622,1265000,53,2.59,"2014","Others"
"480","Sivaganga","GEN","Tamil Nadu","Others",72.7,"M","INC",3.11,"Senthilnathan Pr",0,"Graduate Professional",49050835,7459581,46,7.33,"2014","INC"
"481","Siwan","GEN","Bihar","BJP",56.5,"M","Others",11.53,"Om Prakash Yadav",1,"Graduate",2213023,1956467,48,-10.06,"2014","BJP"
"482","Solapur","SC","Maharashtra","BJP",55.9,"M","INC",8.78,"Sharad Bansode",1,"Graduate Professional",60152887,7604375,46,3.99,"2014","INC"
"483","Sonipat","GEN","Haryana","BJP",69.6,"M","INC",3.57,"Ramesh Chander",0,"Graduate Professional",142840716,0,54,3.18,"2014","INC"
"484","South Delhi","GEN","Delhi","BJP",62.9,"M","INC",1.36,"Ramesh Bidhuri",4,"Graduate Professional",147493056,0,52,3.21,"2014","INC"
"485","South Goa","GEN","Goa","BJP",75.3,"M","INC",-4.86,"Adv. Narendra Keshav Sawaikar",0,"Graduate Professional",6260382,0,47,-4.53,"2014","Others"
"486","Srerampur","GEN","West Bengal","Others",79.5,"M","Others",8.74,"Kalyan Banerjee",1,"Graduate Professional",88512676,8582543,57,5.38,"2014","Others"
"487","Srikakulam","GEN","Andhra Pradesh","Others",74.4,"M","INC",2.44,"Rammohan Naidu Kinjarapu",0,"Post Graduate",84173423,0,27,6.15,"2014","INC"
"488","Srinagar","GEN","Jammu & Kashmir","Others",25.9,"M","Others",1.18,"Tariq Hameed Karra",0,"Graduate Professional",984556436,1500000,58,4.97,"2014","Others"
"489","Sriperumbudur","GEN","Tamil Nadu","Others",66.1,"M","Others",3.11,"Ramachandran, K.N. Thiru",0,"Post Graduate",936721057,80806268,59,7.33,"2014","Others"
"490","Sultanpur","GEN","Uttar Pradesh","BJP",56.6,"M","INC",0.36,"Feroze Varun Gandhi",0,"Post Graduate",357318699,18119000,34,2.59,"2014","INC"
"491","Sundargarh","ST","Orissa","BJP",71.7,"M","INC",5.74,"Jual @ Juel Oram",1,"Others",24202170,0,52,-3.25,"2014","Others"
"492","Supaul","GEN","Bihar","INC",63.6,"F","Others",11.53,"Ranjeet Ranjan",5,"12th Pass",81242965,0,41,-10.06,"2014","BJP"
"493","Surat","GEN","Gujarat","BJP",63.9,"F","BJP",7.12,"Darshana Vikram Jardosh",0,"Graduate",18038444,2020458,53,-6.96,"2014","BJP"
"494","Surendranagar","GEN","Gujarat","BJP",57,"M","INC",7.12,"Fatepara Devajibhai Govindbhai",1,"Literate",11685000,0,55,-6.96,"2014","INC"
"495","Tamluk","GEN","West Bengal","Others",87.6,"M","Others",8.74,"Adhikari Suvendu",2,"Post Graduate",6480767,0,44,5.38,"2014","Others"
"496","Tehri Garhwal","GEN","Uttarakhand","BJP",57.4,"F","INC",6.3,"Mala Rajya Laxmi Shah",0,"12th Pass",1662109875,14900000,64,4.12,"2014","INC"
"497","Tenkasi","SC","Tamil Nadu","Others",73.7,"F","Others",3.11,"Vasanthi.M",0,"Post Graduate",24014922,0,52,7.33,"2014","Others"
"498","Tezpur","GEN","Assam","BJP",77.9,"M","Others",4.28,"Ram Prasad Sarmah",0,"Graduate Professional",6655300,0,58,4.59,"2014","Others"
"499","Thane","GEN","Maharashtra","Others",50.8,"M","Others",8.78,"Vichare Rajan Baburao",13,"10th Pass",102091612,13054217,52,3.99,"2014","Others"
"500","Thanjavur","GEN","Tamil Nadu","Others",75.5,"M","Others",3.11,"Parasuraman.K",0,"12th Pass",146049347,27954352,53,7.33,"2014","Others"
"501","Theni","GEN","Tamil Nadu","Others",74.6,"M","INC",3.11,"Parthipan, R.",0,"Graduate",22047681,869650,50,7.33,"2014","INC"
"502","Thiruvallur","SC","Tamil Nadu","Others",73.7,"M","Others",3.11,"Venugopal.P.(DR)",0,"Others",146978329.273063,14936426.3216266,61,7.33,"2014","Others"
"503","Thiruvananthapuram","GEN","Kerala","INC",68.6,"M","INC",18.41,"Dr. Shashi Tharoor",0,"Doctorate",230275186,0,58,4.39,"2014","INC"
